date, GDP  Billions of US $, Per Capita US $, Growth Rate % Change, Change in growth Rate,Growth Rate (%) in GDP per Capita, GNI Billions of US $, Per Capita US $,GNI  Growth Rate  , GNP Billions of US $,GNP  Per Capita,GNP  Growth Rate, Inflation Rate (%), Inflation Rate Change,  Output Manufacturing,Manufacturing % of GDP,Nifty_50_lagged,Nifty_50
1/31/2012,1823.433977,1448.304525,5.259225,-2.97,6.629166667,1718.312797,1369.166667,5.425875,1718.312797,1369.166667,5.425875,8.959066667,-2.775833333,293.7991153,16.11243333,5505.899902,5333.25
2/29/2012,1823.816124,1447.00575,5.27715,-2.68,5.928333333,1732.192989,1378.333333,5.39965,1732.192989,1378.333333,5.39965,9.006333333,-2.471666667,293.3697439,16.08556667,5333.25,5833.75
3/31/2012,1824.19827,1445.706975,5.295075,-2.39,5.2275,1746.073181,1387.5,5.373425,1746.073181,1387.5,5.373425,9.0536,-2.1675,292.9403726,16.0587,5833.75,5749.5
4/30/2012,1824.580417,1444.4082,5.313,-2.1,4.526666667,1759.953373,1396.666667,5.3472,1759.953373,1396.666667,5.3472,9.100866667,-1.863333333,292.5110012,16.03183333,5749.5,5473.100098
5/31/2012,1824.962564,1443.109425,5.330925,-1.81,3.825833333,1773.833565,1405.833333,5.320975,1773.833565,1405.833333,5.320975,9.148133333,-1.559166667,292.0816299,16.00496667,5473.100098,5647.399902
6/30/2012,1825.344711,1441.81065,5.34885,-1.52,3.125,1787.713756,1415,5.29475,1787.713756,1415,5.29475,9.1954,-1.255,291.6522586,15.9781,5647.399902,5482
7/31/2012,1825.726857,1440.511875,5.366775,-1.23,2.424166667,1801.593948,1424.166667,5.268525,1801.593948,1424.166667,5.268525,9.242666667,-0.950833333,291.2228872,15.95123333,5482,5001
8/31/2012,1826.109004,1439.2131,5.3847,-0.94,1.723333333,1815.47414,1433.333333,5.2423,1815.47414,1433.333333,5.2423,9.289933333,-0.646666667,290.7935159,15.92436667,5001,4943.25
9/30/2012,1826.491151,1437.914325,5.402625,-0.65,1.0225,1829.354332,1442.5,5.216075,1829.354332,1442.5,5.216075,9.3372,-0.3425,290.3641445,15.8975,4943.25,5326.600098
10/31/2012,1826.873298,1436.61555,5.42055,-0.36,0.321666667,1843.234524,1451.666667,5.18985,1843.234524,1451.666667,5.18985,9.384466667,-0.038333333,289.9347732,15.87063333,5326.600098,4832.049805
